Id,Category
0,2
1,10
2,8
3,9
4,7
5,3
6,0
7,5
8,3
9,2
10,3
11,0
12,5
13,10
14,5
15,4
16,9
17,3
18,5
19,9
20,3
21,5
22,3
23,2
24,9
25,3
26,10
27,4
28,2
29,8
30,5
31,5
32,3
33,3
34,2
35,2
36,5
37,10
38,10
39,1
40,6
41,2
42,2
43,3
44,5
45,1
46,10
47,3
48,10
49,9
50,10
51,1
52,3
53,3
54,0
55,8
56,7
57,1
58,6
59,9
60,5
61,5
62,6
63,3
64,10
65,1
66,1
67,9
68,2
69,10
70,5
71,6
72,6
73,5
74,5
75,6
76,3
77,1
78,2
79,9
80,0
81,5
82,5
83,1
84,6
85,3
86,5
87,4
88,8
89,6
90,2
91,5
92,2
93,5
94,6
95,6
96,9
97,2
98,6
99,10
100,2
101,2
102,8
103,2
104,4
105,7
106,6
107,5
108,9
109,10
110,5
111,8
112,5
113,3
114,9
115,10
116,9
117,7
118,9
119,3
120,0
121,2
122,3
123,5
124,3
125,2
126,5
127,8
128,10
129,9
130,5
131,2
132,8
133,1
134,1
135,1
136,3
137,10
138,3
139,1
140,8
141,2
142,5
143,8
144,1
145,10
146,9
147,5
148,2
149,5
150,2
151,4
152,7
153,5
154,10
155,9
156,9
157,9
158,8
159,2
160,5
161,8
162,5
163,5
164,8
165,5
166,8
167,8
168,3
169,9
170,8
171,2
172,4
173,4
174,1
175,8
176,2
177,10
178,8
179,7
180,9
181,8
182,9
183,6
184,6
185,9
186,5
187,1
188,1
189,5
190,1
191,3
192,1
193,4
194,0
195,4
196,8
197,9
198,0
199,1
200,9
201,8
202,5
203,7
204,4
205,6
206,7
207,9
208,10
209,1
210,8
211,2
212,2
213,2
214,1
215,2
216,10
217,1
218,9
219,0
220,5
221,2
222,5
223,6
224,5
225,5
226,2
227,4
228,6
229,3
230,0
231,9
232,6
233,8
234,1
235,2
236,9
237,10
238,3
239,9
240,2
241,3
242,0
243,4
244,6
245,5
246,2
247,9
248,10
249,9
250,9
251,3
252,2
253,9
254,5
255,5
256,0
257,9
258,4
259,0
260,8
261,2
262,10
263,10
264,5
265,9
266,1
267,3
268,0
269,9
270,9
271,3
272,10
273,5
274,4
275,1
276,9
277,2
278,2
279,0
280,9
281,9
282,2
283,3
284,10
285,0
286,2
287,9
288,1
289,10
290,9
291,4
292,9
293,10
294,5
295,6
296,7
297,2
298,10
299,5
300,2
301,2
302,6
303,1
304,7
305,10
306,8
307,8
308,9
309,3
310,9
311,3
312,7
313,8
314,2
315,8
316,7
317,0
318,8
319,1
320,1
321,2
322,8
323,1
324,9
325,3
326,5
327,6
328,10
329,4
330,8
331,0
332,5
333,9
334,1
335,9
336,1
337,3
338,5
339,10
340,9
341,6
342,5
343,10
344,3
345,5
346,3
347,6
348,4
349,9
350,4
351,10
352,6
353,2
354,6
355,1
356,3
357,10
358,8
359,9
360,2
361,5
362,10
363,5
364,2
365,5
366,0
367,4
368,2
369,7
370,9
371,4
372,2
373,4
374,3
375,3
376,9
377,9
378,1
379,5
380,10
381,7
382,4
383,2
384,3
385,0
386,9
387,10
388,10
389,3
390,0
391,2
392,10
393,10
394,7
395,3
396,8
397,8
398,5
399,9
400,9
401,2
402,9
403,4
404,7
405,9
406,10
407,8
408,5
409,4
410,9
411,7
412,5
413,7
414,3
415,7
416,8
417,5
418,1
419,8
420,5
421,2
422,5
423,10
424,3
425,8
426,3
427,9
428,9
429,9
430,5
431,2
432,7
433,8
434,1
435,2
436,8
437,10
438,1
439,9
440,10
441,4
442,3
443,2
444,2
445,3
446,0
447,2
448,0
449,2
450,4
451,9
452,3
453,2
454,6
455,6
456,5
457,4
458,8
459,10
460,10
461,9
462,10
463,2
464,1
465,2
466,6
467,7
468,9
469,5
470,5
471,4
472,8
473,8
474,9
475,3
476,7
477,2
478,2
479,7
480,5
481,5
482,3
483,1
484,10
485,5
486,9
487,9
488,5
489,9
490,3
491,5
492,7
493,2
494,5
495,5
496,8
497,1
498,9
499,10
500,7
501,1
502,5
503,2
504,0
