ID,Answer
0,黑色貝雷帽
1,臺灣府志》
2,袁晁
3,天津武備學堂
4,長盤勝負
5,田漢
6,1874年
7,西漢的版圖向西擴張
8,英國
9,為運送郵件繳納了事先規定好的郵資
10,周星馳
11,秀吉
12,無障礙環境
13,科學幻想元素引進小說創作
14,2004年
15,碳酸鹽
16,羅斯福
17,光度規則的在2.3至3.5等之間變化著
18,
19,多高?[SEP]外太空，或稱太空，於中國大陸稱外層空間，指的是地球大氣層及其他天體之外的虛空區域。與真空有所不同的是，外太空含有密度很低
20,愛爾蘭語
21,荷蘭
22,硫化物
23,塞爾維亞反對黨
24,1910年代
25,拜占庭外交
26,拉丁文
27,猶太基督徒
28,1974年
29,霍克菲爾德
30,文化大革命
31,《名人傳
32,灣仔區
33,振州
34,一種無限制的、自私、而野蠻的競爭情況
35,1964年
36,新北市
37,小白宮
38,沒有申請批准
39,南人
40,宋端宗
41,麻省理工
42,
43,1070年
44,社會保障法規
45,天使路
46,1929年
47,全息照片郵票
48,1932年
49,《起動九龍東》計劃
50,康熙帝
51,武漢水利電力大學
52,1960年代
53,南斯拉夫外交政策轉變
54,紐約市
55,基督教
56,阿爾法版本
57,中華民國制憲國民大會在南京國民大會堂
58,新北市
59,2014年9月28號佔領行動
60,路易十五
61,中國國民黨
62,中生代侏羅紀
63,阿拉貢國王卡洛斯三世
64,熱帶雨林氣候
65,意圖完全擺脫漢朝的控制
66,蔣中正
67,東漢
68,噴射發動機
69,弘治十二年
70,亞洲
71,1994年
72,蘇聯
73,氦
74,經過依納爵長久的薰陶，沙勿略的思想也逐漸改變了
75,
76,和信百貨公司
77,朱少文
78,柴田勝家
79,克萊蒙梭
80,金泳三
81,1958年
82,靈魂」
83,科龍港
84,蓋爾人
85,十二平均律
86,
87,隋滅南陳
88,佛教
89,1861年
90,豐臣秀吉
91,北魏
92,家
93,大躍進運動，劉少奇作為一線領導人積極參與了大躍進的決策和具體的推進工作。3月份成都會議第一次按毛的想法提出要並大社，開始了人民公社化
94,武漢水利電力大學
95,蘇利南
96,1934年
97,檸檬酸咖啡因療法
98,1919年
99,1949年
100,大象
101,1915年
102,
103,有絲分裂
104,美國
105,日耳曼部落的戰績不亞於羅馬
106,朝鮮仁祖
107,十個
108,佛學論書
109,北海道大學
110,歐登堡
111,4天
112,1944年
113,安娜·德·薩伏伊皇后
114,咸豐帝
115,哈林河
116,南亞
117,韓國傳統音樂
118,中原
119,荷蘭語
120,亞利桑那州旗杆鎮的天文觀測台
121,全國人民代表大會決定；在全國人民代表大會閉會期間，由全國人民代表大會常務委員會
122,阿拉伯人
123,周一良，另一位是?[SEP]漢人，與統治民族形成合作關係。在文獻上，五胡之名最早出自苻堅之口，但當時沒有明確定義五胡的內容。對於五胡這個名稱的來源，學界有所爭議。王樹民、孫仲匯、雷家驥等人認為，五胡即五部胡，源自劉淵領導的五部匈奴
124,刺殺
125,喃字的複雜及未標準化
126,二千九百公尺
127,1945年
128,害怕德軍在東線戰線上沒有足夠兵力應付俄國
129,廖瓊枝
130,用來運貨
131,公民權
132,西人黨
133,4年
134,臺北
135,東南亞南島民族
136,杭縣
137,蘇聯國旗
138,20%
139,1941年
140,多腔磁控管雷達技術
141,點石齋畫報
142,泰北
143,1987年
144,上吊方式
145,吉米卡特
146,吳有性
147,《布告各省公啟
148,阿拉里克
149,十月革命
150,髒層
151,日本
152,1949年
153,就業保障制度
154,清光緒十七年
155,雕像
156,國共內戰戰況失利
157,
158,乙醚
159,
160,卡爾梅克人
161,1969年初
162,63位
163,教宗卡利克斯特三世後，改用了波吉亞作為自己的姓。羅德里哥·波吉亞在博洛尼亞大學學習法律，並獲得了教會法學博士學位，被人認為「是一名卓越的、頭腦清晰的法律學家」。1456年，在他舅舅成為教宗後，25歲
164,古希臘時代
165,[UNK]
166,
167,蔣中正
168,農業
169,網景公司
170,1870年8月2日
171,1998年
172,《南呂•一枝花》
173,二次大戰
174,公元68年
175,趙佗
176,莎草紙
177,
178,由法國發動，最後以普魯士大獲全勝
179,1610年1月7日
180,創建強力政府
181,28歲
182,1949年9月
183,保加利亞
184,將電力純粹當做一種能源看待
185,10度
186,社會黨
187,
188,波士頓
189,1912年
190,網球
191,後箱館裁判所
192,明朝
193,中世紀
194,2000年
195,1998年
196,
197,德
198,峽灣
199,阿森納
200,自由政策
201,
202,1920年
203,美元
204,多倫多
205,在軌道上驅動列車
206,彌爾
207,中央情報局
208,珍妮·蓋諾
209,在時域上數學形式為連續函式的訊號
210,蘊含了北魏原型
211,國王
212,
213,清涼
214,新北市
215,聯盟合作
216,甲午戰爭
217,克孜勒
218,中共八屆十中全會
219,好在歷史是人民寫的
220,美觀
221,中部科學園區
222,西部地區
223,1982年
224,1449年
225,皇帝之意
226,斯洛伐克布拉迪斯拉發附近的多瑙河
227,國立廣東大學
228,美國發明家
229,2006年
230,沒有
231,《人體器官移植條例》
232,
233,放棄其在澎湖的經營，轉而登陸臺灣南部，屬於荷蘭東印度公司的荷蘭人首先在「北汕尾」建立簡易的商館，同年，於「一[UNK][UNK]」築起了「熱蘭遮城」，以此作為統治中心，為增加米、糖等農作物產量
234,三倍
235,耗盡了核心的氫燃料
236,颱風
237,2016年
238,1968年
239,30個
240,
241,[UNK]
242,現代化建築
243,阿美族
244,維京海盜
245,2013年
246,赫爾伯特·查普曼
247,據傳在與比提尼亞國王的性行為中處於被動地位
248,七年
249,芝加哥公牛隊
250,溥[UNK]
251,中國人民解放軍
252,雙方在每兩次發球後便交換發球權
253,巡按使
254,
255,1946年
256,漢語拼音方案
257,1984年
258,地面車站
259,「藝術家村
260,法蘭西第二帝國
261,閩南人
262,全勝紀錄
263,利用小型雷達測距儀追蹤目標的距離，協助飛行員找到最佳射擊時機，提高一般飛行員的命中率
264,地心說
265,濃度低
266,光緒
267,明朝
268,1848年
269,1954年
270,1997年
271,南朝鮮
272,《南華早報》
273,臭蛋；濃度高時反而沒有氣味，因為高濃度的硫化氫可以麻痺嗅覺神經
274,僧人
275,阿聯
276,交通基建
277,紅軍
278,
279,天狼星在東方地平線的出現
280,起搏細胞
281,1961年
282,梵蒂岡
283,重工業
284,1237年
285,東羅馬
286,晉安帝
287,奧匈帝國
288,紐約影評人協會
289,1656年
290,清代
291,美川王
292,胡安·林茲
293,日本
294,1954年
295,徑向速度
296,諸葛長民
297,連接子
298,383年
299,羅納爾迪尼奧
300,慕容垂
301,玻里尼西亞鼠泛濫成災
302,利奧三世
303,拉丁字母
304,將飛行員的控制命令透過電線與電子裝置，轉換為對控制面的驅動訊號與力量
305,乙醚
306,中緬大戰
307,斯德哥爾摩
308,第三紀中新世
309,中華民國
310,高麗時期
311,靳雲鵬
312,1958年
313,締約國政府通過訂立國內法來執行條約的具體條款及其他補充協定
314,446種
315,曹魏故都智慧之旅
316,貨櫃深水港？[SEP]為了改善下薩克森邦的經濟欠發達地區的經濟形勢，開發了一些項目，它們包括：由當地經濟共同資助的埃姆斯蘭高速公路阿31，它從東弗里斯蘭出發經過埃姆斯蘭到博特羅普，最後到達西部魯爾區
317,布爾什維克革命
318,金本位制
319,彌爾
320,紅色的視錐細胞
321,1928年
322,商品期貨
323,十多個
324,300美元
325,楊宇霆
326,貴州省最大
327,元世祖
328,力自行車
329,數學
330,亞熱帶季風氣候
331,經濟
332,
333,高拱乾
334,屬於凱爾特部落群
335,失分
336,銃炮
337,1959年
338,1980年代
339,凱·艾維州長
340,東漢
341,中共十一屆三中全會後，學校先後為整風運動中被錯劃為右派的同志徹底平了反
342,希伯來文
343,第四心音
344,2010年
345,武漢
346,1868年
347,托土拉島
348,中華民國
349,倫敦大學的名義
350,1888年，愛爾蘭的獸醫約翰登祿普，從醫治牛胃氣膨脹中得到啟示，將自家花園用來澆水的橡膠管粘成圓形並打足氣裝在腳踏車上，這是充氣輪胎的開端。充氣輪胎是腳踏車發展史上的一個劃時代的創舉，這從根本上改善了腳踏車的行駛舒適性。1970年，登山用途的腳踏車出現﹐腳踏車的另外一項劃時代發明變速器因此被創造出來。1970年代中期
351,岡仁波齊峰
352,1972年
353,突厥
354,大島造船所
355,南斯拉夫社會主義聯邦共和國
356,民主制度的恢復
357,硫
358,與丹尼索瓦人混血
359,忽必烈
360,威尼斯聖馬可教堂
361,2000年
362,蝸牛狀
363,奧地利
364,1950年代，首次從蘇聯買來的4艘驅逐艦全部給了後來屬於北海艦隊的青島海軍基地。1954年
365,韓國
366,最小的島嶼小得不宜人居。英屬維京群島
367,1955年
368,史都華
369,1910年
370,突厥
371,中亞新興大國花剌子模在沙阿摩訶末時期崛起
372,1958年
373,2011年
374,激進組織
375,巴爾的摩
376,中華民國政府
377,社團部
378,她以為托爾金已經忘了她。兩人在一個鐵路橋下見面重續舊情。伊迪絲歸還了訂婚戒指，聲明她會與托爾金結婚。他們訂婚後，伊迪絲不情願地在托爾金的堅持下宣布自己皈依羅馬天主教
379,手機照片
380,孔子
381,上海國歌紀念廣場
382,2005年
383,中國官員承認中國器官移植手術所使用的人體器官大部分來源於被判處死刑犯人的自願捐助
384,異端審判庭
385,60年代
386,原始心臟
387,1809年
388,
389,民國36年
390,先使用大量優勢兵力向西擊敗法國然後再掉頭往東對付俄國，然而德國總參謀長小毛奇卻害怕德軍在東線戰線上沒有足夠兵力應付俄國
391,人文角度看，下薩克森邦幅員遼闊
392,伯克制
393,擺脫螺旋槳在接近音速時的上限
394,國家起源說
395,路易·巴斯德
396,中興有中部科學園區
397,宣統三年九月十九日
398,1976年
399,國語詩歌
400,黑死病
401,突厥語
402,拉海納
403,約翰·坎貝爾
404,8小時
405,樂壇女王
406,民國16年
407,國立廣東大學
408,自殺
409,六億七千多萬美金
410,妖怪
411,漢魏
412,tram
413,空氣
414,非常混亂
415,漢語
416,清太宗皇太極
417,信陽
418,5年
419,准將
420,質量
421,科技
422,媽祖
423,鮑德溫伯爵
424,工業建設
425,20餘米
426,蘇丹
427,行軍大總管
428,八公分
429,2005年9月
430,天文和天文物理研究所的一部分，並與澳洲國立大學、新南威爾斯大學的和其他的一些機構，共同管理英澳望遠鏡和聚集在該處的其它望遠鏡
431,那拉氏
432,辛酉政變
433,銅的礦物
434,統一企業
435,連續的日數
436,病毒載體
437,陳誠
438,廣東省教育強市
439,直接武裝支援俄國白軍推翻在西伯利亞的布爾什維克政權。事件最後失敗告終，蘇聯共產政府確立
440,德國的進出口貿易
441,中原大戰
442,1972年
443,天皇
444,731美元
445,蒙德維爾境內蒙德維爾遺址所在地
446,嘉義市
447,
448,肺呼氣機制
449,五角星
450,潘諾尼亞
451,航海貿易中心
452,埃姆斯蘭高速公路阿31
453,匿蹤性能
454,中國共產黨中央政治局常務委員會
455,1945年
456,一條簡單的直線
457,
458,盟旗制
459,總督府
460,布朗茜
461,南緯30度
462,一次大戰
463,溫布頓網球錦標賽
464,美國
465,自由派
466,網景公司
467,路吉阿諾斯小說
468,1911年
469,1982年
470,七年
471,奧地利
472,貝爾實驗室
473,梁朝偉
474,吳三連
475,1918年
476,楊宇霆
477,1月7日
478,掃雷艇部隊
479,海都之亂
480,與內閣
481,民國15年
482,80年代
483,期
484,五部胡，源自劉淵領導的五部匈奴
485,電腦
486,陽光政策」
487,烏孜別克人
488,2555公里
489,國共內戰
490,樂浪郡
491,茲維亞德·加姆薩胡爾季阿
492,以避免造成路口交通不暢
493,長程巡弋飛彈
494,荀子
495,清朝
496,7年
497,雙北合作交流平台
498,可以有多部電腦介入飛控系統操作，飛行員只需下達動作指令
499,中國政法大學
500,瓜拿納中的咖啡因有時也被稱為瓜拿納因，而存在於瑪黛茶
501,中華民國空軍
502,硫磺
503,古代
504,民國4年12月25日
505,西格里
506,
507,軍政
508,呂訥堡石楠草原南部的貝爾根
509,青蓮居士
510,朱允[UNK]
