ID,Answer
0,白色羽毛
1,《臺灣府志》
2,袁晁
3,天津武備學堂
4,長盤勝負
5,田漢
6,1874年
7,西漢的版圖向西擴張
8,英國
9,為運送郵件繳納了事先規定好的郵資
10,周星馳
11,石田三成
12,無障礙環境
13,歐洲工業文明崛起後特殊的文化現象之一
14,2004年
15,硫-34
16,羅斯福
17,大陵五，它在2.87天的週期中，光度規則的在2.3至3.5等之間變化著
18,經濟
19,水平速度
20,愛爾蘭語
21,荷蘭
22,硫化物
23,塞爾維亞反對黨
24,1910年代
25,戰爭的另一種形式
26,拉丁文
27,猶太基督徒
28,1974年
29,霍克菲爾德
30,文化大革命
31,薩蒂里卡》
32,灣仔區
33,振州
34,形容一種無限制的、自私、而野蠻的競爭情況
35,1964年
36,新北市
37,小白宮
38,《中華人民共和國集會遊行示威法
39,南人
40,宋端宗
41,麻省理工
42,46億年
43,1070年
44,社會保障法規
45,水上報告廳
46,1929年
47,全息照片郵票
48,1932年
49,零碳天地落成，為香港政府宣布《起動九龍東》計劃後，成為九龍東首批標誌性項目之一。九龍灣也有一些住宅區，有兩大私人屋苑，分別是九龍灣站上蓋的德福花園及麗晶花園
50,康熙帝
51,武漢水利電力大學
52,1960年代
53,亞歷山大一世被刺殺
54,
55,基督教
56,阿爾法版本
57,二十六年間，南京進行了大規模的首都建設，奠定了南京現代城市發展的良好基礎。民國十八年
58,新北市教育主管機管
59,佔領行動
60,路易十五經常在宮中舉行場面浩大壯觀的典禮、晚會、舞會
61,中國國民黨
62,中生代侏羅紀
63,阿拉貢國王卡洛斯三世
64,熱帶雨林氣候
65,意圖完全擺脫漢朝的控制
66,蔣中正
67,東漢
68,噴射發動機
69,弘治十二年
70,亞洲
71,1994年
72,美國
73,氦
74,人縱然賺得了全世界，卻賠上了自己的靈魂，為他有什麼益處？
75,汽車以外的交通而供用的道路。
76,大韓生命保險公司大樓
77,朱少文
78,羽柴秀吉
79,克萊蒙梭
80,金泳三
81,1958年
82,靈魂
83,科龍港
84,蓋爾人
85,科學知識及技術的發現
86,保山市
87,隋滅南陳
88,佛教
89,1861年
90,豐臣秀吉
91,江北地區
92,英國
93,人民公社化的第一步
94,武漢水利電力大學
95,蘇利南
96,1934年
97,檸檬酸咖啡因療法
98,1919年為止一直保留國大黨的身份，在其雙層身份期間，他被尊為國大黨的代言人，與此同時奈都夫人則被尊為「印度教-穆斯林團結大使
99,1949年
100,大象
101,1915年
102,1000年
103,有絲分裂
104,美國
105,巴爾米拉王國
106,仁祖
107,436000人，是東北亞較大的少數民族，有自己的自治共和國，首都是烏蘭烏德。他們是分布最北的蒙古人。布里亞特人分前後貝加爾共有十個
108,佛學論書
109,戰基處
110,漢諾瓦
111,4天
112,1944年
113,安娜·德·薩伏伊皇后
114,巴夏禮
115,哈林河
116,孟加拉
117,傳統音樂
118,中原
119,荷蘭語
120,美國國家歷史名勝
121,總理
122,波斯人
123,王樹民
124,高句麗安藏王被刺殺
125,複雜及未標準化
126,二千九百公尺
127,
128,害怕德軍在東線戰線上沒有足夠兵力應付俄國
129,
130,用來運貨
131,公民權
132,西人黨
133,4年
134,臺北
135,查莫洛人
136,杭縣
137,蘇聯國旗
138,20%
139,1941年
